placename	latitude	longitude
MoTaz	56.1544787	28.3615148
@azaizamotaz9	NA	NA
Yugoslavia	23.0412366	-81.5261419
Ocean Jazz	40.0143748	-74.3180806
the Gulf of Aden	NA	NA
Philippines	12.7503486	122.7312101
the Cape of Good Hope	52.4558055	-2.4233006
Pakistan	30.3308401	71.247499
Erbil	36.1911744	44.0094145
Pakistan’s Balochistan province	NA	NA
Iran’s Sistan-Baluchestan province	27.2069903	60.6882515
Iran’s	37.1962629	50.0161668
Rask	55.8819605	9.5974011
Sistan-Baluchestan	28.1292481	60.8236848
the Strait of Hormuz	NA	NA
the Persian Gulf	34.0554039	-118.442059
Davos	46.796198	9.8236892
Balochistan	28.0	66.0
Netanyahu’s	31.6891895	34.5786698
Supernova	48.2594356	11.6701756
Houthis’	NA	NA
the Bab-el-Mandeb Strait	NA	NA
Dhamar	14.7384268	44.2709597
al-Bayda	14.34166	45.394422
the Arabian Sea	NA	NA
the Bab al-Mandeb Strait	NA	NA
al-Karama	25.2482136	55.3050609
Beruit	25.3336992	55.3637625
Lebanon’s	40.325793	-76.4067588
Yemen’s coast	NA	NA
Maghazi	31.4227161	34.3864103
Manchester City	42.9956397	-71.4547891
Barcelona	41.3825802	2.177073
Chile	-31.7613365	-71.3187697
Mexico	23.6585116	-102.0077097
Chile’s	-33.4762577	-70.5118399
Santiago	9.8694792	-83.7980749
Bangladesh	24.4769288	90.2934413
Bolivia	-17.0568696	-64.9912286
Comoros	-12.2045176	44.2832964
Djibouti	11.8145966	42.8453061
Haifa	32.8191218	34.9983856
Caesarea	38.7219011	35.4873214
Kefar Sava	32.1737235	34.9275606
Rehovot	31.8952532	34.8105616
Beersheba	31.2457442	34.7925181
Khan Yunis	31.3443293	34.3095897
Mawasi	22.5478037	77.0694624
Dearborn	42.3222599	-83.1763145
Michigan	43.6211955	-84.6824346
Chicago	41.8755616	-87.6244212
New Delhi	28.6430858	77.2192671
India’s Basmati	NA	NA
North America	51.0000002	-109.0
North Africa	41.3625989	2.159665
al-Shifa	26.40617	50.1186225
Welch’s	36.3111371	-94.1885557
Kampala	0.3177137	32.5813539
Uganda’s	0.0038285	32.0141141
Indonesia	-2.4833826	117.8902853
Peru	-6.8699697	-75.0458515
Colombia	4.099917	-72.9088133
South Sudan	7.8699431	29.6667897
Swaziland	-26.5624806	31.3991317
Lisbon	38.7077507	-9.1365919
Portugal	39.6621648	-8.1353519
Kiryat Shmona	33.2074733	35.5707828
the Blue Line	39.1077556	-94.5811909
Gulf of Aden	12.6147301	47.5063378
Singapore	1.357107	103.8194992
Mediterranean	35.0000035	19.9999957
the Indian Ocean	52.2530965	0.1049209
Bahaa el-Din Abu Ras	NA	NA
Bahaa’s	33.2262596	-8.5045826
the Marshall Islands	38.9149318	-77.0538702
Bab al-Mandeb Strait	12.5743764	43.3128158
Morocco	28.3347722	-10.3713379
Rabat	34.0218454	-6.8408929
Western Sahara	24.1797324	-13.7667848
Marrakesh	31.6258257	-7.9891608
the Western Sahara	-33.9631556	18.4839287
Morocco’s	25.1048331	-12.4085466
Maghreb	26.2421016	5.155224
al-Walaja	31.7306702	35.1613881
Gilo	31.7311395	35.1867748
Har Gilo	31.7217716	35.1715306
Al Rayyan	24.9304741	50.9776888
Qatar’s	25.2715499	51.6072992
Wadi Gaza	31.1631134	34.6146652
Bosnia	44.3053476	17.5961467
Sri Lanka	7.5554942	80.7137847
the Republic of South Africa	-25.7447224	28.2288639
PA	8.559559	-81.1308434
Oslo	59.9133301	10.7389701
Cairo	30.0443879	31.2357257
New York	40.7127281	-74.0060152
Belarus	53.4250605	27.6971358
Ebel el-Saqi	NA	NA
Entebbe, Uganda	0.0611715	32.4698564
Sierra Leone	8.6400349	-11.8400269
DRC	-2.9814344	23.8222636
@adoniaayebare	NA	NA
Namibia	-23.2335499	17.3231107
Shadi’s	36.638392	127.6961188
Khreis’s	NA	NA
Northern Gaza	32.049507	34.7598525
Malta	35.8885993	14.4476911
the Gulf of Oman	NA	NA
Ankara	39.9207759	32.8540497
Aqaba	29.5266483	35.0075433
California	36.7014631	-118.755997
Panjgur	26.9616074	64.1153339
the Sistan-Baluchestan province	NA	NA
Islamabad	33.6938118	73.0651511
the Islamic Republic of Iran	52.1014931	4.2877583
@RepJayapal	NA	NA
@RepCori	NA	NA
@BasedMikeLee	NA	NA
Texas	31.2638905	-98.5456116
the Republic of Korea	37.6237457	126.9189662
Libya	26.8234472	18.1236723
Kosovo	42.5869578	20.9021231
Sabra	34.8260248	-1.530335
Shatila	31.8657208	35.4550986
Kyiv	50.4500336	30.5241361
Somalia	8.3676771	49.083416
Yemen’s Red Sea	12.7829548	45.0314981
Washington’s	42.3663005	-73.1431219
Rawaa’s	22.8279206	59.2566885
al-Mawasi district	13.84784	44.31265
Cameroon	4.6125522	13.1535811
al-Ahli	25.1212592	55.2258485
Egypt’s Sinai Peninsula	27.9396212	34.3633633
Philadelphi	19.7309974	-72.2180342
Karem Abu Salem	NA	NA
Kerem Shalom	31.2277096	34.2839544
Greece	38.9953683	21.9877132
Dubai	25.0742823	55.1885387
Bab al-Mandeb	12.5743764	43.3128158
Yemen’s southern coast	NA	NA
Riyadh	18.0107143	-15.955326
Yaroun	33.0835631	35.41669
Lebanon’s Nabatieh	33.3533734	35.5818092
Yir’on	33.0777838	35.455753
Avivim	33.0886777	35.4729375
Israel’s Goren	31.3075899	34.6110119
Herzegovina	44.3053476	17.5961467
Montenegro	-29.6826112	-51.4687455
Silicon Valley	37.4429964	-122.1545229
Beit Shemesh	31.746214	34.9886825
Santa Clara	37.3541132	-121.955174
West Bank’s	-32.8738889	27.3775
Moldova	47.2879608	28.5670941
Bern	46.9484742	7.4521749
Zurich	47.3744489	8.5410422
Netivot	31.4213546	34.5884252
Israel-Palestine	50.8702394	4.3519777
al-Dabshah	NA	NA
Khirbet Selm	33.2321883	35.4195742
Bint Jbeil	33.1195382	35.4327933
Ibil El Saqi	NA	NA
al-Tawil’s	31.3095435	34.9312223
al-Khader	31.6947314	35.1668486
the Bekaa Valley	NA	NA
the Litani River	NA	NA
al-Mazraa Asharqiya	NA	NA
Harvey	38.0352315	-97.4486267
Tawfiq	52.4703158	-1.8628617
al-Mazra’a Asharqiya	NA	NA
New York City	40.7127281	-74.0060152
the Middle East Eye	NA	NA
Al Maniya	31.6108797	35.2267521
WestBank	49.8370591	-119.6388985
Thameen Darby	NA	NA
the Nakba Layer	NA	NA
Mercator	50.9097122	4.3962656
Alaska	64.4459613	-149.680909
South America	-21.0002179	-61.0006565
the Asia-Pacific	14.5801842	121.0608911
Golan Heights	33.0408017	35.7392885
The Golan Heights	14.6429245	121.0743958
Crimea	45.3228492	14.4620949
the South China Sea	20.6979747	116.7315856
South China Sea	15.0000001	114.9999999
Vietnam	15.9266657	107.9650855
Kashmir	26.2644203	71.6027498
Darby’s Nakba	NA	NA
the Gaza strip	31.5137304	34.4398271
Gaza Strip’s	-37.7137478	145.0748898
@NaksBilal	NA	NA
the Gaza Strip	31.5137304	34.4398271
Beit Lahiya	31.54977	34.5024697
al-Mazra’a	34.727571	36.6570553
the Mediterranean Sea	31.27717	16.020182
Ajaq	37.3210285	46.7285054
Silwad	31.9750753	35.2624526
Ras Issa	31.9353665	35.918908
Hodeidah province	15.1159326	42.844785
Rohtak	28.9010899	76.5801935
Haryana	29.0	76.0
Uttar Pradesh	27.1303344	80.859666
Lucknow	26.8381	80.9346001
UP	46.2882039	-87.0446343
Bihar	25.6440845	85.906508
West Bengal	22.9964948	87.6855882
@Benarasiyaa	NA	NA
Haryana’s Panipat	29.3912753	76.9771675
Thailand	14.8971921	100.83273
Middle Eastern	53.39439	-2.9495891
Haryana’s Jind	29.3152073	76.314082
Palestinian Territories	31.462421	34.2627215
Ansarallah	NA	NA
the Strip	36.1150519	-115.1727994
@majedalansari	NA	NA
Kan	38.27312	-98.5821872
The United Kingdom	52.4577754	-1.8692099
West Jerusalem	18.6647148	-72.2522553
Egypt’s	-11.9623884	13.7631625
the Bab al-	36.2053072	36.7253542
Mandeb Strait	12.5743764	43.3128158
Munich	48.1371079	11.5753822
Sidon	33.4079425	-90.208027
Salameh’s	33.5695995	35.5565521
Tunisia	36.8002068	10.1857757
Zawayda	31.4289495	34.3680982
Beit Hanoon	NA	NA
the Red Sea.	20.3336262	38.3223816
La France	34.6122634	-82.7654934
Mediterranean’s	32.8656275	-96.6975295
Eurasia	52.4780337	13.4270146
Heliopolis	-10.6753416	-38.2815308
al-Fawakhir	26.0105385	33.6071782
Levant	44.869496	-68.935089
Gaza City’s Zeitoun	NA	NA
the Old City of Gaza	NA	NA
Mecca	21.420847	39.826869
Gaza’s Daraj	31.5168183	34.4633092
Al-Masjid al-Omari al-Kabir	NA	NA
Byzantium	41.006381	28.9758715
the Via Maris	NA	NA
Zeitoun	31.4879035	34.4445419
Anthedon	51.3982647	0.0920886
Balakhiyah	NA	NA
Tida	35.6025161	1.2706208
Tell el-Ajjul	NA	NA
Calves Hill	51.8023346	-1.9188021
Cyprus	34.9174159	32.8899027
Daraj	33.2457071	59.5454874
Ahmadiyyah Zawiya	NA	NA
Seychelles	-4.6574977	55.4540146
Bab al-Mandeb strait	12.5743764	43.3128158
Maldives	3.7203503	73.2244152
Columbia	4.099917	-72.9088133
Istanbul	41.006381	28.9758715
Crete	41.4445334	-87.6313829
Sweden's	-23.5571917	-46.7288118
Bureij	31.4381976	34.4035751
al-Mahatta	25.0726507	56.3578923
Mozambique	-19.302233	34.9144977
United States’	39.7837304	-100.445882
Bulgaria	42.6073975	25.4856617
Al Jazeera’s	25.7095495	55.8096291
al-Mawasi	31.3550656	34.2610942
Iraq’s	33.2672209	44.2399742
Idlib	35.8595974	36.5713701
Detroit	42.3315509	-83.0466403
Southeast Michigan	42.3756874	-83.1276698
Arab America	34.3181497	-86.4958219
Jarrah	-35.2290974	149.0606401
Wayne County	41.6264414	-75.3045103
Minnesota	45.9896587	-94.6113288
Des Moines	41.5868654	-93.6249494
Iowa	41.9216734	-93.3122705
Cedar Rapids	41.9758872	-91.6704053
Iowa City	41.6612561	-91.5299106
South Asia	1.3019038	103.7775058
Florida	27.7567667	-81.4639835
New York’s Ellis Island	NA	NA
Ohio	40.2253569	-82.6881395
Shujayea	NA	NA
Dahiyeb	NA	NA
Aroura	32.0411142	35.1725981
al-Arouri	NA	NA
al-Mughraqa	31.4672522	34.4097598
al-Maghazi	31.4227161	34.3864103
Maghazi Roads	NA	NA
Deir al-Balah	31.4183455	34.3502476
Houthi	NA	NA
Jordan’s	41.3155244	-72.9101408
al-Tanf	33.4369226	38.8354602
the Hashemite Kingdom of Jordan	52.1085987	4.2894214
Dahiya	29.3535991	47.9802873
Jama’a Islamiya	NA	NA
Geneva	46.2017559	6.1466014
Gaza city	31.5050311	34.4641381
Ashdod	31.7977314	34.6529922
Hebrew	14.5478534	121.1334583
Mackinac Island	45.84907	-84.6198572
Great Lakes	42.3093241	-87.8496551
Lake Michigan	43.8556466	-87.0818686
Beit Nabala	31.975811	34.9550835
Syria’s Damascus	33.5130695	36.3095814
Syria’s	36.309784	36.7555575
Mazzeh	52.93792	-1.1945837
Borj el Barajneh	33.8410614	35.4990347
West Beirut	49.3515038	9.1444463
Beirut’s Hamra	33.8962741	35.4751269
Hamra’s	35.8867896	14.4854096
Hamra	61.756683	14.8024445
West Beirutis	NA	NA
Dabbouch	NA	NA
East Beirut	14.5503624	121.1340806
Israel’s Haifa	32.7935137	34.957457
Estonia	58.7523778	25.3319078
Bab el-Mandeb strait	12.5743764	43.3128158
Southern Red Sea	13.75	41.5
Africa’s Cape of Good Hope	NA	NA
the Eastern Mediterranean	36.9605719	30.854842
Bab-el-Mandeb strait	12.5743764	43.3128158
Eilat	29.5569348	34.9497949
Dead Sea	31.5414738	35.4787059
Eastern Mediterranean region	14.5661409	120.9864569
Hamoud	15.6164296	-11.5151891
Taalbaya	33.8172909	35.8676904
Rashidiya	25.2303111	55.3911232
Maroun El Ras	33.1030866	35.4449613
Rmeish	33.0777979	35.3678431
Miraj	16.858516	74.7108947
Tal al-Hawa	31.504679	34.4349021
@zarahsultana	NA	NA
Gisha	-2.9311877	29.9573741
Bani Naim	31.5168713	35.163048
Raanana	32.1860244	34.8678359
Sderot	31.526474	34.5969696
Nir Am	31.5193144	34.5807617
Mefalsim	31.5026787	34.5621232
Hanita	33.0874108	35.1733471
Mattat	13.5854524	98.1515218
Margaliot	33.2132345	35.5391372
Adamit	33.0795856	35.2102543
Zar’it	33.0996431	35.2886449
Malkia	33.0992486	35.5116985
the Jordan River	43.8414452	-65.2348785
Alborz	35.956	52.1086
Southern Africa	37.8750917	-122.2375211
Venezuela	8.0018709	-66.1109318
Hormuz	26.4494061	56.2027702
the Arabian Gulf	24.4732994	54.3742912
Israel's	32.0807031	34.7745633
the Golan Heights	14.6429245	121.0743958
Kanaker	33.2658744	36.0976626
Sarit	36.9043915	37.2759961
Aleppo	36.19924	37.1637253
Gaza‘s	-36.1486373	146.913623
@TomWhiteGaza	NA	NA
Entebbe	0.0611715	32.4698564
Central Gaza Strip	NA	NA
Al-Aqsa	31.7763042	35.2355961
Syria’s Golan Heights	NA	NA
Kurdistan	35.672803	47.0124376
Panjgur, Pakistan’s Balochistan province	NA	NA
#RedSea	1.3035572	103.8099406
China’s	-23.6140007	-46.5701743
Walla	2.0500649	30.9301448
Rwanda	-1.9646631	30.0644358
East Timor	-8.7443169	126.063482
Kabul	34.5266431	69.1849082
az-Zahra	36.3604326	37.0107567
Hamad	26.1267463	50.4983356
the State of Qatar	51.5070218	-0.1504298
QFFD	NA	NA
Melbourne, Australia	-37.8142454	144.9631732
Melbourne	-37.8142454	144.9631732
Sandridge Beach	-37.8409176	144.9149601
the ZIM Ganges	NA	NA
Australia’s	-37.8722432	144.6084185
Sydney	-33.8698439	151.2082848
Brisbane	-27.4689682	153.0234991
north📍#Gaza	-36.1436297	146.9314929
@Palestine_UN	40.7664513	-73.966313
Taiz province	13.5752242	44.0215268
Al-Bayda	14.34166	45.394422
Dena	42.4504862	-8.808322
Oakland	37.8044557	-122.271356
Akrotiri	34.6008434	32.9561709
Limassol	34.6852901	33.0332657
Pashias	NA	NA
Anadolu	38.4157689	27.1749807
Nevatim	31.2225371	34.8807983
the Republic of Cyprus	35.1604094	33.3254164
Dhekelia	35.0348604	33.7593563
USA	39.7837304	-100.445882
the League of Arab States	30.0354633	31.2132334
al-Saftawi	30.0658506	31.2294907
El Amal City Hospital	NA	NA
Al-Fukhari	31.281465	34.332429
al-Amal	24.645917	46.722574
al-Nasser	31.5312836	34.4583823
al-Katiba	-0.9157115	29.5985174
Cape Town	-33.9288301	18.4172197
South Africansfrom	NA	NA
Africa4Palestine	NA	NA
Western Cape province	-33.546977	20.72753
Paltel	31.5193446	34.4420796
Jawwal	31.7287422	35.1581131
Salem	44.9391565	-123.033121
Copenhagen	55.6867243	12.5700724
